Name,Current Players,Peak Players,Time,Link,appid,Tags
Warframe,34996,46900,2021-01-06 13:37:39,https://store.steampowered.com/app/230410/Warframe/,230410,"['Free to Play', 'Looter Shooter', 'Action', 'Co-op', 'Multiplayer', 'Third-Person Shooter', 'Sci-fi', 'Ninja', 'Shooter', 'Parkour', 'Space', 'Online Co-Op', 'Futuristic', 'Third Person', 'Massively Multiplayer', 'PvE', 'RPG', 'Hack and Slash', 'Singleplayer', 'FPS']"
War Thunder,34297,35926,2021-01-06 13:37:39,https://store.steampowered.com/app/236390/War_Thunder/,236390,"['Free to Play', 'World War II', 'Multiplayer', 'Simulation', 'War', 'Flight', 'Tanks', 'Military', 'Massively Multiplayer', 'Action', 'Realistic', 'Historical', 'Shooter', 'Team-Based', 'Co-op', 'Strategy', 'Arcade', 'FPS', 'Open World', 'TrackIR']"
World of Tanks Blitz,33215,33736,2021-01-06 13:37:39,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/,444200,"['Tanks', 'Free to Play', 'Action', 'Multiplayer', 'World War II', 'Massively Multiplayer', 'War', 'Shooter', 'Strategy', 'PvP', 'Military', 'Online Co-Op', 'Simulation', 'Competitive', 'Arcade', 'FPS', 'Singleplayer', 'Psychological Horror', 'Open World', 'First-Person']"
Hearts of Iron IV,30966,32106,2021-01-06 13:37:39,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/,394360,"['Strategy', 'World War II', 'Grand Strategy', 'Historical', 'War', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'RTS', 'Singleplayer', 'Diplomacy', 'Sandbox', 'Co-op', 'Great Soundtrack', 'Open World', 'Action', 'Casual']"
Total War: WARHAMMER II,30659,32901,2021-01-06 13:37:39,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/,594570,"['Strategy', 'Fantasy', 'Turn-Based Strategy', 'RTS', 'Grand Strategy', 'War', 'Multiplayer', 'Games Workshop', 'Action', 'Turn-Based', 'Singleplayer', 'Dark Fantasy', 'Co-op', 'Tactical', 'Real Time Tactics', 'Story Rich', 'Atmospheric', 'Dinosaurs', 'Great Soundtrack', 'Warhammer 40K']"
The Witcher 3: Wild Hunt,30579,36239,2021-01-06 13:37:39,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/,292030,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure', 'Singleplayer', 'Choices Matter', 'Nudity', 'Great Soundtrack', 'Third Person', 'Action', 'Medieval', 'Multiple Endings', 'Action RPG', 'Dark Fantasy', 'Magic', 'Dark', 'Sandbox']"
Farming Simulator 19,30111,31628,2021-01-06 13:37:39,https://store.steampowered.com/app/787860/Farming_Simulator_19/,787860,"['Simulation', 'Farming Sim', 'Multiplayer', 'Agriculture', 'Realistic', 'Open World', 'Driving', 'Automobile Sim', 'Singleplayer', 'Management', 'Moddable', 'Co-op', 'Resource Management', 'Relaxing', 'First-Person', 'Online Co-Op', 'Economy', 'Atmospheric', 'Strategy', 'Family Friendly']"
Monster Hunter: World,29405,51260,2021-01-06 13:37:39,https://store.steampowered.com/app/582010/Monster_Hunter_World/,582010,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization', 'Adventure', 'Fantasy', 'Singleplayer', 'Difficult', 'Action RPG', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'Souls-like', 'MMORPG']"
7 Days to Die,27832,31171,2021-01-06 13:37:39,https://store.steampowered.com/app/251570/7_Days_to_Die/,251570,"['Survival', 'Zombies', 'Voxel', 'Open World', 'Post-apocalyptic', 'Open World Survival Craft', 'FPS', 'Action', 'Sandbox', 'Multiplayer', 'Building', 'Simulation', 'Online Co-Op', 'Exploration', 'Singleplayer', 'Survival Horror', 'RPG', 'Procedural Generation', 'Character Customization', 'Early Access']"
EA SPORTS™ FIFA 21 ,26931,28709,2021-01-06 13:37:39,https://store.steampowered.com/app/1313860/EA_SPORTS_FIFA_21/,1313860,"['Sports', 'Soccer', 'PvP', 'Competitive', 'Football', 'Runner', 'Simulation', 'eSports', 'Multiplayer', 'Local Multiplayer', 'Realistic', 'Controller', 'Online Co-Op', 'Local Co-Op', 'Singleplayer', 'Modern', 'Co-op', 'Casual', 'Action', 'Great Soundtrack']"
Hades,26390,29728,2021-01-06 13:37:39,https://store.steampowered.com/app/1145360/Hades/,1145360,"['Action Roguelike', 'Action', 'Indie', 'RPG', 'Roguelite', 'Hack and Slash', 'Great Soundtrack', 'Singleplayer', 'Dungeon Crawler', 'Roguelike', 'Mythology', 'Story Rich', 'Replay Value', 'Isometric', 'Action RPG', 'Difficult', 'Hand-drawn', 'Atmospheric', 'Dating Sim', 'Perma Death']"
The Elder Scrolls Online,25108,26668,2021-01-06 13:37:39,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/,306130,"['RPG', 'MMORPG', 'Open World', 'Massively Multiplayer', 'Multiplayer', 'Fantasy', 'Adventure', 'First-Person', 'Exploration', 'Story Rich', 'Third Person', 'Magic', 'Action', 'Co-op', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Singleplayer', 'Sandbox', 'Character Customization']"
Spacewar,24239,24563,2021-01-06 13:37:39,https://steamcommunity.com/app/480,480,
Unturned,23884,24197,2021-01-06 13:37:39,https://store.steampowered.com/app/304930/Unturned/,304930,"['Free to Play', 'Survival', 'Zombies', 'Open World Survival Craft', 'Multiplayer', 'Open World', 'Adventure', 'Crafting', 'Action', 'First-Person', 'Co-op', 'Sandbox', 'Shooter', 'Post-apocalyptic', 'FPS', 'Singleplayer', 'Massively Multiplayer', 'Indie', 'Casual', 'Atmospheric']"
Football Manager 2020,23842,26185,2021-01-06 13:37:39,https://store.steampowered.com/app/1100600/Football_Manager_2020/,1100600,"['Simulation', 'Sports', 'Management', 'Soccer', 'Multiplayer', 'Football', 'Strategy', 'Singleplayer']"
Age of Empires II: Definitive Edition,23303,31199,2021-01-06 13:37:39,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/,813780,"['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Historical', 'Medieval', 'Singleplayer', 'Base Building', 'Classic', 'Resource Management', 'Remake', 'Real-Time', 'Tactical', 'Co-op', 'Action', 'Replay Value', '2D', 'Isometric', 'Adventure', 'Great Soundtrack']"
Black Desert Online,22529,22935,2021-01-06 13:37:39,https://store.steampowered.com/app/582660/Black_Desert_Online/,582660,"['MMORPG', 'Massively Multiplayer', 'RPG', 'Open World', 'Character Customization', 'Adventure', 'Fantasy', 'Action', 'PvP', 'Multiplayer', 'Strategy', 'Sandbox', 'Simulation', 'Third Person', 'Hack and Slash', 'Co-op', 'Fishing', 'Female Protagonist', 'Violent', 'PvE']"
